Source Station,Target Station,Weight
Stonebridge Park,Wembley Central,18
Barons Court,West Kensington,12
Dollis Hill,Neasden,12
Borough,Elephant and Castle,3
Sloane Square,South Kensington,4
Dagenham East,Dagenham Heathway,24
Bond Street,Oxford Circus,2
Goodge Street,Tottenham Court Road,1
East Putney,Putney Bridge,3
Epping,Theydon Bois,12
Harlesden,Willesden Junction,13
Morden,South Wimbledon,42
Archway,Tufnell Park,5
Latimer Road,Wood Lane,2
Lambeth North,Waterloo,10
Green Park,Westminster,3
North Ealing,Park Royal,0
Kensal Green,Queens Park,3
Barking,East Ham,83
Rayners Lane,West Harrow,3
Earls Court,Kensington (Olympia),4
Parsons Green,Putney Bridge,7
Hillingdon,Uxbridge,11
Kennington,Nine Elms,3
Hanger Lane,North Acton,9
Oakwood,Southgate,24
Ladbroke Grove,Westbourne Park,5
Hatton Cross,Hounslow West,17
Stepney Green,Whitechapel,3
Blackhorse Road,Tottenham Hale,55
Camden Town,Mornington Crescent,5
Leyton,Leytonstone,22
Finchley Central,West Finchley,19
Ickenham,Ruislip,1
Monument,Cannon Street,2
Kingsbury,Queensbury,26
Redbridge,Wanstead,8
Cannon Street,Mansion House,1
Paddington,Warwick Avenue,15
Aldgate,Tower Hill,3
Boston Manor,Northfields,8
Embankment,Waterloo,23
Debden,Loughton,8
Blackfriars,Temple,2
Balham,Clapham South,15
Golders Green,Hampstead,7
Greenford,Northolt,35
Kingsbury,Wembley Park,18
Upminster,Upminster Bridge,9
Aldgate East,Liverpool Street,25
Northfields,South Ealing,4
Euston Square,Kings Cross St. Pancras,6
Chigwell,Grange Hill,6
Bayswater,Notting Hill Gate,5
Gants Hill,Redbridge,27
London Bridge,Southwark,7
Moorgate,Old Street,6
Canning Town,West Ham,25
Barbican,Farringdon,1
Fulham Broadway,Parsons Green,1
Greenford,Perivale,21
North Acton,West Acton,3
North Wembley,South Kenton,6
West Finchley,Woodside Park,7
Harrow-on-the-Hill,Northwick Park,12
Grange Hill,Hainault,16
Brent Cross,Hendon Central,13
Monument,Moorgate,24
Hounslow Central,Hounslow West,16
Belsize Park,Chalk Farm,3
Hanger Lane,Perivale,8
Earls Court,West Kensington,26
Chigwell,Roding Valley,3
Harrow-on-the-Hill,North Harrow,13
Kennington,Oval,6
Rayners Lane,South Harrow,8
Acton Town,Turnham Green,14
East Acton,White City,3
Oval,Stockwell,17
Oxford Circus,Piccadilly Circus,6
Oxford Circus,Tottenham Court Road,6
Charing Cross,Leicester Square,10
Elm Park,Hornchurch,9
Elephant and Castle,Lambeth North,3
Manor House,Turnpike Lane,21
Northwood,Northwood Hills,1
Bromley-by-Bow,West Ham,15
Maida Vale,Warwick Avenue,1
Northolt,South Ruislip,27
Ladbroke Grove,Latimer Road,1
Monument,Tower Hill,12
Charing Cross,Embankment,4
Baker Street,Marylebone,3
St. Jamess Park,Westminster,0
Pimlico,Vauxhall,5
Baker Street,Great Portland Street,1
Bethnal Green,Mile End,11
Knightsbridge,South Kensington,4
Leytonstone,Wanstead,12
Chorleywood,Rickmansworth,6
South Harrow,Sudbury Hill,6
Hyde Park Corner,Knightsbridge,0
Angel,Old Street,2
Kentish Town,Tufnell Park,1
Canary Wharf,North Greenwich,31
Gloucester Road,High Street Kensington,5
Embankment,Temple,0
Finchley Road,Wembley Park,28
Charing Cross,Piccadilly Circus,9
Canons Park,Queensbury,28
Barons Court,Earls Court,20
East Putney,Southfields,10
Harrow and Wealdstone,Kenton,23
Baker Street,St. Johns Wood,2
Barbican,Moorgate,4
Monument,London Bridge,31
Liverpool Street,Moorgate,52
Dollis Hill,Willesden Green,6
Balham,Tooting Bec,14
Leicester Square,Piccadilly Circus,9
Bermondsey,Canada Water,7
Kilburn,Willesden Green,8
Dagenham East,Elm Park,19
Finsbury Park,Manor House,23
Edgware Road (Bakerloo),Paddington,15
Angel,Kings Cross St. Pancras,7
Bethnal Green,Liverpool Street,16
Kilburn,West Hampstead,8
Kilburn Park,Maida Vale,3
Holborn,Tottenham Court Road,3
Southwark,Waterloo,9
Camden Town,Kentish Town,8
Borough,London Bridge,11
Seven Sisters,Tottenham Hale,67
Southfields,Wimbledon Park,10
St. Johns Wood,Swiss Cottage,0
Acton Town,Ealing Common,10
Ruislip,Ruislip Manor,4
Acton Town,Chiswick Park,12
Euston,Kings Cross St. Pancras,21
Green Park,Victoria,16
Sloane Square,Victoria,5
Arnos Grove,Southgate,21
Colindale,Hendon Central,39
Heathrow Terminal 4,Heathrow Terminals 1 2 3,15
Hatton Cross,Heathrow Terminal 4,13
Bounds Green,Wood Green,28
Shepherds Bush,White City,13
Holborn,Russell Square,3
Farringdon,Kings Cross St. Pancras,13
Tooting Bec,Tooting Broadway,28
Heathrow Terminal 5,Heathrow Terminals 1 2 3,20
Caledonian Road,Holloway Road,2
Baker Street,Bond Street,2
Moor Park,Rickmansworth,1
Hounslow Central,Hounslow East,15
Camden Town,Euston,17
Earls Court,Gloucester Road,14
Highbury and Islington,Kings Cross St. Pancras,10
Moor Park,Northwood,3
High Barnet,Totteridge and Whetstone,16
Oxford Circus,Regents Park,2
Gants Hill,Newbury Park,29
Mile End,Stratford,92
High Street Kensington,Notting Hill Gate,6
Chancery Lane,Holborn,2
Croxley,Moor Park,2
St. Jamess Park,Victoria,10
Chancery Lane,St. Pauls,1
Sudbury Hill,Sudbury Town,10
Fairlop,Hainault,16
Plaistow,West Ham,20
Eastcote,Ruislip Manor,7
Debden,Theydon Bois,3
Canons Park,Stanmore,11
Paddington,Royal Oak,11
Becontree,Dagenham Heathway,27
Finchley Central,Mill Hill East,9
Monument,Liverpool Street,37
East Ham,Upton Park,59
Burnt Oak,Edgware,27
Clapham North,Stockwell,14
Clapham Common,Clapham North,16
Eastcote,Rayners Lane,7
Elephant and Castle,Kennington,7
Cockfosters,Oakwood,5
Kenton,South Kenton,14
Colliers Wood,Tooting Broadway,28
Arsenal,Holloway Road,4
Notting Hill Gate,Queensway,6
Bow Road,Mile End,13
North Harrow,Pinner,4
Leicester Square,Tottenham Court Road,6
Ruislip Gardens,West Ruislip,5
North Wembley,Wembley Central,17
Alperton,Sudbury Town,6
Canning Town,North Greenwich,32
Canada Water,Canary Wharf,23
Clapham Common,Clapham South,17
Embankment,Westminster,9
Kennington,Waterloo,20
Kensal Green,Willesden Junction,19
East Finchley,Highgate,8
Euston,Warren Street,3
Stratford,West Ham,82
Stockwell,Vauxhall,28
Goodge Street,Warren Street,0
Boston Manor,Osterley,4
Buckhurst Hill,Loughton,8
East Acton,North Acton,10
Hillingdon,Ickenham,2
Baker Street,Regents Park,1
Blackfriars,Mansion House,4
Kilburn Park,Queens Park,6
Aldgate,Liverpool Street,16
Finchley Road,Swiss Cottage,2
Monument,St. Pauls,1
Shepherds Bush Market,Wood Lane,9
Roding Valley,Woodford,5
Earls Court,West Brompton,15
Bond Street,Green Park,5
Gunnersbury,Turnham Green,13
Green Park,Hyde Park Corner,5
South Woodford,Woodford,10
Bayswater,Paddington,5
Mile End,Stepney Green,5
Finsbury Park,Highbury and Islington,9
Acton Town,South Ealing,7
Ruislip Gardens,South Ruislip,11
Earls Court,High Street Kensington,16
Lancaster Gate,Queensway,0
Hornchurch,Upminster Bridge,5
Kings Cross St. Pancras,Russell Square,9
Covent Garden,Leicester Square,6
Arnos Grove,Bounds Green,24
Goldhawk Road,Shepherds Bush Market,6
Chalfont and Latimer,Chorleywood,4
Barkingside,Fairlop,2
Becontree,Upney,15
Archway,Highgate,6
Croxley,Watford,0
Buckhurst Hill,Woodford,8
Baker Street,Finchley Road,6
Bond Street,Marble Arch,2
Euston Square,Great Portland Street,1
Ealing Common,North Ealing,3
Fulham Broadway,West Brompton,7
Gunnersbury,Kew Gardens,3
Amersham,Chalfont and Latimer,3
Northwick Park,Preston Road,4
Plaistow,Upton Park,16
Barking,Upney,53
Northwood Hills,Pinner,3
Bermondsey,London Bridge,18
Bow Road,Bromley-by-Bow,6
Camden Town,Chalk Farm,4
Harrow-on-the-Hill,West Harrow,12
Holland Park,Notting Hill Gate,0
Hatton Cross,Heathrow Terminals 1 2 3,38
Covent Garden,Holborn,3
Snaresbrook,South Woodford,5
Pimlico,Victoria,9
Chiswick Park,Turnham Green,7
Leytonstone,Snaresbrook,9
Turnpike Lane,Wood Green,33
Monument,Waterloo,20
Neasden,Wembley Park,13
Caledonian Road,Kings Cross St. Pancras,9
Gloucester Road,South Kensington,2
Chalfont and Latimer,Chesham,7
Colliers Wood,South Wimbledon,28
Harlesden,Stonebridge Park,20
Alperton,Park Royal,5
Lancaster Gate,Marble Arch,1
Stamford Brook,Turnham Green,10
Aldgate East,Tower Hill,2
Hounslow East,Osterley,7
Finchley Road,West Hampstead,4
Oxford Circus,Warren Street,3
Brent Cross,Golders Green,12
